Id?empleado;Name;Apellido;birth_date;género;area;salary;star_date;finish_date;promotion_date;type
00-6460144;Helli;Hothersall;1/24/1990;hombre;Engineering;$ 87,55;6/22/2012;;;1
00-6479395;Aura;Steagall;7/19/1978;hombre;Accounting;$ 164,59;3/28/2013;2030-02-23 03:54:13 UTC;;1
00-6565696;Flory;Ibbitt;3/9/1968;mujer;Human Resources;$ 160,27;8/13/2009;2014-06-03 03:40:16 UTC;;0
00-6609229;Leontine;Rammell;8/15/1986;mujer;Product Management;$ 98,88;11/10/2001;;;0
00-6666091;Carly;Everall;12/25/1966;mujer;Support;$ 141,11;1/11/2004;;;1
00-6675478;Reginald;Gosker;10/13/1979;mujer;Engineering;$ 133,84;10/17/2020;;;0
00-6722855;Kimmi;Moff;3/8/1996;hombre;Engineering;$ 146,73;4/4/2001;;;0
00-6768311;Adina;Marcq;1/16/1991;mujer;Engineering;$ 128,68;12/18/2007;;;1
00-6790860;Enrica;Cohalan;1/23/1994;mujer;Engineering;$ 147,44;4/26/2009;;;0
00-6792940;Valera;Hannent;2/14/1993;hombre;Engineering;$ 182,10;5/29/2017;;;0
00-6797967;Albrecht;Geffinger;1/18/1980;mujer;Sales;$ 171,22;11/19/2018;;;0
00-6804149;Orsa;Pafford;12/25/1994;hombre;Human Resources;$ 174,20;12/21/2001;;;0
00-6902222;Pall;Snedker;4/7/1969;hombre;Support;$ 115,85;10/4/2009;2014-01-31 00:17:22 UTC;;1
00-6974128;Eilis;Byford;5/7/1966;hombre;Engineering;$ 86,52;11/4/2014;;;1
00-7012064;Maridel;Canario;11/17/1990;hombre;Engineering;$ 149,26;8/18/2018;;;1
00-7043366;Mellie;Hariot;11/25/1983;mujer;Engineering;$ 72,13;2/6/2013;;;1
00-7080550;Stefan;Orht;3/1/1988;hombre;Business Development;$ 109,17;4/4/2018;;;0
00-7080839;Bertie;La Batie;12/4/1991;hombre;Services;$ 118,72;6/12/2016;;;1
00-7102476;Cammy;Bleakman;8/12/1983;hombre;Accounting;$ 163,20;5/6/2003;;;0
00-7374971;Theodor;Perot;9/11/1989;hombre;Engineering;$ 141,90;6/13/2009;;;1
00-7494159;Lu;Larive;8/13/1999;mujer;Human Resources;$ 135,08;5/31/2004;2010-12-03 06:19:28 UTC;;0
00-7507889;Marietta;Marieton;3/30/1995;hombre;Human Resources;$ 124,20;7/31/2008;;;1
00-7598768;Monte;How to preserve;10/20/1972;mujer;Engineering;$ 87,79;10/16/2016;;;1
00-7685590;Emanuele;Scotts;10/19/1986;hombre;Engineering;$ 157,51;8/26/2019;;;1
00-7693501;Kiley;Ricci;3/15/1972;mujer;Training;$ 149,62;8/3/2003;;;1
00-7726076;Pavel;Corsor;2/14/1976;mujer;Services;$ 154,86;2/2/2017;;;1
00-7766529;Nikaniki;Nurdin;6/28/1995;hombre;Accounting;$ 68,44;6/29/2019;;;1
00-7800396;Siward;Phelipeaux;3/29/1981;hombre;Business Development;$ 115,79;2/9/2003;2016-01-11 09:20:25 UTC;;1
00-7802037;Kaylee;Lambdin;11/1/1965;mujer;Engineering;$ 174,42;3/9/2003;;;1
00-7925080;Chrisy;Risen;7/23/1985;mujer;Engineering;$ 175,77;2/3/2011;2018-06-05 07:01:43 UTC;;1
00-8010185;Tab;Lissemore;11/25/2000;mujer;Business Development;$ 157,63;12/3/2005;2012-02-21 20:12:05 UTC;;1
00-8113601;Rem;Hassey;5/23/1995;hombre;Accounting;$ 134,75;5/29/2008;;;1
00-8203294;Brianna;Dudin;2/15/1988;mujer;Engineering;$ 121,70;12/18/2017;;;1
00-8230593;Sheppard;Klosges;10/25/1992;hombre;Product Management;$ 174,96;8/22/2010;2017-12-30 08:38:51 UTC;;0
00-8250034;Karlen;Duckworth;11/3/1981;hombre;Human Resources;$ 81,55;5/19/2010;2023-01-17 02:59:42 UTC;;0
00-8270076;Raphaela;Clowney;11/2/1971;hombre;Engineering;$ 141,26;3/6/2010;2030-08-03 09:10:37 UTC;;1
00-8302867;Idalia;Sherborne;4/21/1968;mujer;Services;$ 168,49;7/7/2016;2028-03-12 22:16:52 UTC;;0
00-8320940;Terence;MacConnechie;10/26/1965;hombre;Engineering;$ 177,09;8/11/2004;;;1
00-8429312;Shane;Ousbie;12/12/1966;hombre;Training;$ 168,55;7/4/2005;;;0
00-8477498;Cammi;Yakebovitch;11/15/1965;hombre;Research and Development;$ 176,58;1/4/2004;;;0
00-8477624;Tomkin;Di Ruggiero;10/24/1993;hombre;Sales;$ 110,00;2/18/2010;;;1
00-8527252;Leanor;Gemnett;7/31/1974;hombre;Sales;$ 117,27;7/20/2013;;;0
00-8536569;Sterling;Prue;3/28/1966;mujer;Human Resources;$ 152,76;3/22/2004;2005-03-23 03:58:55 UTC;;0
00-8541630;Loydie;Platts;7/20/1970;hombre;Human Resources;$ 103,62;6/7/2012;;;1
00-8542295;Darius;Birchenough;9/12/1968;hombre;Research and Development;$ 109,54;2/16/2018;;;1
00-8571626;Jenn;Whitecross;8/31/1972;hombre;Training;$ 81,10;1/11/2010;;;0
00-8586665;Glenna;Owbrick;1/1/1993;hombre;Accounting;$ 150,51;7/7/2011;;;1
00-8679134;Lindy;Colliver;4/20/1992;mujer;Business Development;$ 116,57;1/28/2003;;;0
00-8679430;Lorianna;Mitten;10/9/1971;mujer;Accounting;$ 168,88;2/10/2001;2018-11-16 09:54:34 UTC;;0
00-8679766;Modesty;O'Spellissey;6/29/1982;mujer;Services;$ 129,94;10/15/2009;;;1
00-8704487;Lorain;Kibbe;6/19/1983;mujer;Accounting;$ 112,50;7/27/2015;;;1
00-8712138;Gabie;Lawleff;8/30/1968;mujer;Training;$ 132,41;5/10/2004;;;1
00-8719634;Melanie;Rylands;3/12/1972;hombre;Accounting;$ 123,18;11/17/2016;2031-07-20 12:13:53 UTC;;0
00-8734191;Timothea;Summergill;12/11/1983;mujer;Training;$ 93,96;8/27/2004;;;1
00-8772885;Thorn;Kidston;10/15/1967;hombre;Engineering;$ 95,23;11/22/2017;2022-03-26 06:01:47 UTC;;0
00-8823459;Irvine;Shillinglaw;11/15/1997;hombre;Engineering;$ 172,92;9/30/2001;;;1
00-8842682;Lissi;Copcote;1/21/1993;mujer;Engineering;$ 176,37;8/5/2016;;;0
00-8912428;Brana;Gwin;5/20/1979;hombre;Accounting;$ 96,17;7/15/2019;;;0
00-8960230;Mohandis;Piecha;10/4/1995;mujer;Engineering;$ 170,79;5/4/2007;;;0
00-9028931;Caressa;Van Leeuwen;7/14/1976;mujer;Engineering;$ 138,68;12/2/2018;;;0
00-9061522;Garrard;Oakenfull;6/13/1996;hombre;Sales;$ 141,95;10/1/2020;;;1
00-9089278;Chrissy;Zamudio;3/9/1987;hombre;Services;$ 73,29;2/22/2006;;;0
00-9125378;Rosie;Denyakin;12/31/1979;mujer;Engineering;$ 154,99;6/30/2020;;;1
00-9129949;Margery;Darbyshire;6/7/1989;hombre;Training;$ 103,38;4/20/2015;;;0
00-9148951;Sybilla;Oleszkiewicz;10/17/1970;mujer;Accounting;$ 76,38;9/3/2012;;;0
00-9220924;Chrysler;Brekonridge;12/17/1979;hombre;Engineering;$ 99,24;9/29/2004;;;1
00-9244844;Roselin;Warke;3/4/1991;mujer;Services;$ 105,49;3/31/2009;;;1
00-9248315;Lettie;Shute;5/2/1981;mujer;Engineering;$ 157,25;5/18/2012;;;0
00-9256735;Alphonse;Horsewood;3/6/1997;mujer;Engineering;$ 123,68;9/16/2001;;;1
00-9261338;Sharline;Andrzej;1/17/1974;hombre;Accounting;$ 158,43;5/19/2009;;;1
00-9351773;Liesa;Melling;5/16/1997;mujer;Auditing;$ 166,45;10/30/2008;;;0
00-9358294;Dale;Whitland;12/4/2000;hombre;Accounting;$ 142,81;8/3/2005;;;0
00-9378033;Mechelle;Waggatt;3/8/1977;mujer;Human Resources;$ 157,16;3/14/2016;;;0
00-9436631;Curr;De Biasi;1/25/2000;mujer;Business Development;$ 101,60;9/6/2008;;;1
00-9445290;Audra;Burdus;7/23/1978;hombre;Services;$ 101,71;1/21/2010;;;1
00-9477913;Merlina;Laing;4/2/1986;mujer;Engineering;$ 152,10;1/27/2009;;;0
00-9519379;Lorianna;Hayley;5/30/1993;hombre;Engineering;$ 146,32;10/1/2012;;;1
00-9624016;Carina;Finan;3/18/1997;mujer;Engineering;$ 183,91;10/7/2015;;;1
00-9627775;Nana;Grimme;2/23/1973;hombre;Product Management;$ 151,83;9/2/2018;;;1
00-9700945;Zora;Peller;9/25/1980;hombre;Accounting;$ 118,77;8/2/2012;;;1
00-9731481;Kelbee;Noni;3/18/1992;mujer;Engineering;$ 102,05;6/3/2020;2036-12-06 16:11:08 UTC;;0
00-9763187;Amandy;Lafferty;7/23/1984;hombre;Marketing;$ 147,52;1/28/2017;;;0
00-9782513;Kerianne;Bault;7/21/1992;mujer;Business Development;$ 144,36;7/8/2003;;;1
00-9792606;Kalle;Minchindon;8/21/1983;hombre;Accounting;$ 77,17;6/30/2002;;;0
00-9837994;Adam;Tremoille;6/16/1991;hombre;Human Resources;$ 141,86;8/20/2007;;;1
00-9880182;Fan;Lockley;7/27/1998;hombre;Support;$ 97,91;6/24/2012;;;0
00-9896573;Shae;Avramow;9/18/1967;mujer;Human Resources;$ 156,91;5/18/2006;;;1
01-0027092;Jock;Aarons;12/23/1988;mujer;Engineering;$ 173,69;8/11/2002;;;1
01-0036386;Dion;Sundin;9/4/1971;mujer;Human Resources;$ 142,63;10/8/2005;;;1
01-0038079;Tierney;Oldknow;10/24/1969;mujer;Support;$ 168,97;5/18/2004;;;1
01-0074905;Robinson;Le Moucheux;6/10/1982;mujer;Human Resources;$ 118,74;3/28/2015;2019-02-01 16:58:06 UTC;;0
01-0116125;Upton;Bowater;5/10/1972;mujer;Accounting;$ 75,01;1/17/2013;;;0
01-0169206;Whitney;Garred;10/10/1985;mujer;Business Development;$ 167,04;6/2/2017;;;0
01-0204393;Josephine;Marriot;3/30/2002;mujer;Engineering;$ 147,30;3/19/2011;;;1
01-0280611;Larine;Dreakin;7/8/1983;hombre;Engineering;$ 155,05;1/18/2003;;;0
01-0348994;Wainwright;Osban;5/14/1987;hombre;Sales;$ 102,71;11/14/2001;;;1
01-0364885;Orella;Brim;4/21/2000;hombre;Human Resources;$ 93,55;11/25/2019;;;0
01-0373372;Aldus;Sturr;8/11/1976;hombre;Services;$ 184,24;3/8/2020;;;0
01-0381181;Merv;Weiss;9/8/1982;mujer;Accounting;$ 161,94;8/29/2003;2019-08-08 15:02:56 UTC;;0
01-0417194;Nissy;Reskelly;3/2/1967;hombre;Support;$ 93,74;1/13/2017;2019-11-19 15:30:43 UTC;;0
01-0502994;Jaynell;Hunnybun;5/2/1971;mujer;Product Management;$ 171,24;2/10/2004;;;1
01-0506260;Ives;Phette;11/17/1988;hombre;Human Resources;$ 129,52;9/18/2015;;;0
01-0551724;Moina;Gabby;11/22/1993;hombre;Support;$ 119,32;12/3/2016;;;1
01-0586118;Barry;Bryns;1/24/2000;mujer;Engineering;$ 138,90;2/22/2012;;;0
01-0600294;Susanna;Bushell;5/26/1998;hombre;Product Management;$ 69,28;8/14/2015;2016-12-12 03:55:46 UTC;;0
01-0641203;Forrester;Dadge;9/16/1976;mujer;Engineering;$ 131,49;9/20/2013;;;0
01-0645501;Shanon;Fonzone;4/29/2001;hombre;Human Resources;$ 173,10;1/24/2005;;;0
01-0663336;Elisabet;Allchorne;9/4/1979;hombre;Sales;$ 145,41;4/13/2002;;;0
01-0692047;Yorgo;Pywell;10/5/1981;hombre;Accounting;$ 156,46;9/13/2002;;;1
01-0708619;Calvin;Tudor;12/19/1985;mujer;Services;$ 105,78;5/24/2013;;;0
01-0770833;Louise;Spottiswoode;2/22/1993;hombre;Sales;$ 146,17;5/14/2019;2028-02-11 16:18:48 UTC;;1
01-0807331;Gene;Renals;3/29/1968;mujer;Legal;$ 141,95;11/30/2016;2031-02-23 16:16:06 UTC;;1
01-0892737;Noni;Stuttard;1/26/1985;hombre;Engineering;$ 94,00;12/10/2006;;;0
01-0896141;Richmound;Aust;5/20/1993;hombre;Support;$ 122,38;7/12/2011;2030-06-01 02:32:46 UTC;;1
01-0957306;Thelma;Nanson;8/31/1972;hombre;Services;$ 171,06;11/18/2012;;;0
01-1097895;Sayer;Balcock;4/8/1992;mujer;Sales;$ 69,55;8/2/2002;;;1
01-1147276;Philis;Bayne;1/2/1986;hombre;Human Resources;$ 84,71;9/14/2014;;;1
01-1215079;Maribelle;Shankster;8/2/1996;hombre;Human Resources;$ 138,65;10/10/2012;2025-01-15 18:21:59 UTC;;1
01-1228565;Otho;Lernihan;4/24/1968;hombre;Support;$ 80,86;11/6/2000;;;0
01-1253052;Dena;Kob;12/15/1985;hombre;Accounting;$ 141,66;10/9/2002;;;0
01-1268137;Loreen;Bewicke;1/24/1981;mujer;Engineering;$ 108,91;10/3/2009;2017-07-19 18:48:18 UTC;;1
01-1280118;Tannie;Dillamore;10/3/2000;mujer;Sales;$ 163,54;8/27/2002;;;1
01-1409605;Cayla;Hubbis;5/25/1975;mujer;Product Management;$ 101,50;11/19/2015;;;0
